frozenset(['paralog06', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog05', 'paralog11'])	[(1, 1.0)]
frozenset(['paralog04', 'paralog07'])	[(1, 0.9988888888888889), (3, 0.0011111111111111111)]
frozenset(['paralog14', 'paralog13'])	[(1, 0.994994994994995), (2, 0.003003003003003003), (3, 0.002002002002002002)]
frozenset(['paralog12', 'paralog08'])	[(1, 0.815), (2, 0.179), (4, 0.003), (3, 0.002), (5, 0.001)]
frozenset(['paralog15', 'paralog09'])	[(2, 0.863), (1, 0.137)]
frozenset(['paralog05', 'paralog03'])	[(2, 1.0)]
frozenset(['paralog03', 'paralog11'])	[(2, 1.0)]
frozenset(['paralog03', 'paralog02'])	[(2, 0.94), (4, 0.025), (5, 0.021), (3, 0.011), (6, 0.003)]
frozenset(['paralog09', 'paralog13'])	[(2, 0.7327327327327328), (3, 0.26626626626626626), (1, 0.001001001001001001)]
frozenset(['paralog14', 'paralog09'])	[(2, 0.7297297297297297), (3, 0.2702702702702703)]
frozenset(['paralog15', 'paralog13'])	[(3, 0.8618618618618619), (2, 0.13713713713713713), (1, 0.001001001001001001)]
frozenset(['paralog14', 'paralog15'])	[(3, 0.8658658658658659), (2, 0.13413413413413414)]
frozenset(['paralog15', 'paralog12'])	[(3, 0.607), (4, 0.239), (2, 0.142), (5, 0.007), (6, 0.004), (7, 0.001)]
frozenset(['paralog05', 'paralog02'])	[(3, 0.93993993993994), (5, 0.025025025025025027), (6, 0.021021021021021023), (4, 0.011011011011011011), (7, 0.003003003003003003)]
frozenset(['paralog02', 'paralog11'])	[(3, 0.93993993993994), (5, 0.025025025025025027), (6, 0.021021021021021023), (4, 0.011011011011011011), (7, 0.003003003003003003)]
frozenset(['paralog15', 'paralog08'])	[(3, 0.72), (4, 0.259), (2, 0.009), (5, 0.008), (6, 0.003), (7, 0.001)]
frozenset(['paralog06', 'paralog02'])	[(3, 0.654), (4, 0.296), (2, 0.033), (5, 0.016), (6, 0.001)]
frozenset(['paralog10', 'paralog02'])	[(3, 0.654), (4, 0.296), (2, 0.033), (5, 0.016), (6, 0.001)]
frozenset(['paralog09', 'paralog12'])	[(4, 0.699), (3, 0.277), (2, 0.01), (5, 0.01), (6, 0.003), (7, 0.001)]
frozenset(['paralog01', 'paralog10'])	[(4, 0.6126126126126126), (3, 0.32232232232232233), (5, 0.06106106106106106), (6, 0.004004004004004004)]
frozenset(['paralog06', 'paralog01'])	[(4, 0.6126126126126126), (3, 0.32232232232232233), (5, 0.06106106106106106), (6, 0.004004004004004004)]
frozenset(['paralog09', 'paralog08'])	[(4, 0.849), (3, 0.135), (5, 0.011), (2, 0.003), (6, 0.002)]
frozenset(['paralog07', 'paralog08'])	[(4, 0.7611111111111111), (3, 0.15), (5, 0.07555555555555556), (6, 0.01), (2, 0.0022222222222222222), (7, 0.0011111111111111111)]
frozenset(['paralog04', 'paralog08'])	[(4, 0.7613762486126526), (3, 0.14983351831298558), (5, 0.07547169811320754), (6, 0.009988901220865706), (2, 0.0022197558268590455), (7, 0.0011098779134295228)]
frozenset(['paralog01', 'paralog02'])	[(4, 0.8578578578578578), (5, 0.08608608608608609), (3, 0.05305305305305305), (6, 0.002002002002002002), (2, 0.001001001001001001)]
frozenset(['paralog04', 'paralog12'])	[(4, 0.8745837957824639), (5, 0.097669256381798), (3, 0.014428412874583796), (6, 0.011098779134295227), (2, 0.0011098779134295228), (7, 0.0011098779134295228)]
frozenset(['paralog07', 'paralog12'])	[(4, 0.8744444444444445), (5, 0.09777777777777778), (3, 0.014444444444444444), (6, 0.011111111111111112), (2, 0.0011111111111111111), (7, 0.0011111111111111111)]
frozenset(['paralog07', 'paralog01'])	[(4, 0.6211111111111111), (5, 0.31333333333333335), (3, 0.052222222222222225), (6, 0.012222222222222223), (2, 0.0011111111111111111)]
frozenset(['paralog04', 'paralog01'])	[(4, 0.6222222222222222), (5, 0.31333333333333335), (3, 0.052222222222222225), (6, 0.012222222222222223)]
frozenset(['paralog06', 'paralog03'])	[(4, 0.633), (5, 0.309), (6, 0.052), (7, 0.003), (3, 0.002), (8, 0.001)]
frozenset(['paralog03', 'paralog10'])	[(4, 0.633), (5, 0.309), (6, 0.052), (7, 0.003), (3, 0.002), (8, 0.001)]
frozenset(['paralog04', 'paralog15'])	[(4, 0.5149833518312985), (5, 0.3973362930077691), (6, 0.06992230854605994), (7, 0.017758046614872364)]
frozenset(['paralog07', 'paralog15'])	[(4, 0.5144444444444445), (5, 0.3977777777777778), (6, 0.07), (7, 0.017777777777777778)]
frozenset(['paralog04', 'paralog02'])	[(5, 0.6370699223085461), (4, 0.33851276359600446), (3, 0.01553829078801332), (6, 0.00776914539400666), (2, 0.0011098779134295228)]
frozenset(['paralog07', 'paralog02'])	[(5, 0.6388888888888888), (4, 0.3377777777777778), (3, 0.014444444444444444), (6, 0.0077777777777777776), (2, 0.0011111111111111111)]
frozenset(['paralog14', 'paralog12'])	[(5, 0.7007007007007007), (4, 0.2672672672672673), (3, 0.02002002002002002), (6, 0.006006006006006006), (7, 0.003003003003003003), (8, 0.002002002002002002), (2, 0.001001001001001001)]
frozenset(['paralog12', 'paralog13'])	[(5, 0.7017017017017017), (4, 0.27127127127127126), (3, 0.016016016016016016), (6, 0.006006006006006006), (7, 0.003003003003003003), (8, 0.002002002002002002)]
frozenset(['paralog14', 'paralog08'])	[(5, 0.8438438438438438), (4, 0.14114114114114115), (3, 0.006006006006006006), (6, 0.006006006006006006), (7, 0.002002002002002002), (8, 0.001001001001001001)]
frozenset(['paralog08', 'paralog13'])	[(5, 0.8458458458458459), (4, 0.14414414414414414), (6, 0.006006006006006006), (7, 0.002002002002002002), (3, 0.001001001001001001), (8, 0.001001001001001001)]
frozenset(['paralog04', 'paralog10'])	[(5, 0.9389567147613762), (4, 0.029966703662597113), (6, 0.02885682574916759), (3, 0.0022197558268590455)]
frozenset(['paralog04', 'paralog06'])	[(5, 0.9389567147613762), (4, 0.029966703662597113), (6, 0.02885682574916759), (3, 0.0022197558268590455)]
frozenset(['paralog07', 'paralog06'])	[(5, 0.9411111111111111), (4, 0.028888888888888888), (6, 0.028888888888888888), (3, 0.0011111111111111111)]
frozenset(['paralog07', 'paralog10'])	[(5, 0.9411111111111111), (4, 0.028888888888888888), (6, 0.028888888888888888), (3, 0.0011111111111111111)]
frozenset(['paralog01', 'paralog03'])	[(5, 0.8828828828828829), (6, 0.10510510510510511), (4, 0.009009009009009009), (7, 0.002002002002002002), (8, 0.001001001001001001)]
frozenset(['paralog04', 'paralog09'])	[(5, 0.6337402885682575), (6, 0.22086570477247502), (4, 0.11320754716981132), (7, 0.029966703662597113), (8, 0.0022197558268590455)]
frozenset(['paralog07', 'paralog09'])	[(5, 0.6333333333333333), (6, 0.22111111111111112), (4, 0.11333333333333333), (7, 0.03), (8, 0.0022222222222222222)]
frozenset(['paralog01', 'paralog08'])	[(5, 0.5715715715715716), (6, 0.2902902902902903), (4, 0.12012012012012012), (7, 0.016016016016016016), (3, 0.002002002002002002)]
frozenset(['paralog01', 'paralog12'])	[(5, 0.6256256256256256), (6, 0.32932932932932935), (7, 0.024024024024024024), (4, 0.021021021021021023)]
frozenset(['paralog08', 'paralog02'])	[(6, 0.503), (5, 0.413), (4, 0.08), (3, 0.003), (2, 0.001)]
frozenset(['paralog10', 'paralog11'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog05', 'paralog06'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog05', 'paralog10'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog06', 'paralog11'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog12', 'paralog02'])	[(6, 0.606), (5, 0.36), (4, 0.029), (2, 0.003), (3, 0.002)]
frozenset(['paralog04', 'paralog03'])	[(6, 0.6281908990011099), (5, 0.3129855715871254), (4, 0.049944506104328525), (7, 0.00776914539400666), (3, 0.0011098779134295228)]
frozenset(['paralog07', 'paralog03'])	[(6, 0.63), (5, 0.31222222222222223), (4, 0.04888888888888889), (7, 0.0077777777777777776), (3, 0.0011111111111111111)]
